Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
PL 98-353,New Position,1984-07-10,,,CCA,First Circuit,1986-01-01,
"Garrity, W. Arthur",Retired,1985-12-01,,,MA,First Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,RI,First Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,CCA,Second Circuit,1986-01-01,
"Miner, Roger J.",Elevated,1985-07-22,,,NY-N,Second Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,NY-N,Second Circuit,1986-01-01,
"Altimari, Frank X.",Elevated,1985-12-17,,,NY-E,Second Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,NY-E,Second Circuit,1986-01-01,
"Gagliardi, Lee P.",Retired,1985-07-17,,,NY-S,Second Circuit,1986-01-01,
"Sofaer, Abraham D.",Resigned,1985-06-10,,,NY-S,Second Circuit,1986-01-01,
"Stewart, Jr., Charles E.",Retired,1985-01-02,,,NY-S,Second Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,NY-W,Second Circuit,1986-01-01,
"VanArtsdalen, Donald",Retired,1985-10-21,,,PA-E,Third Circuit,1986-01-01,
"Muir, Malcolm",Retired,1984-08-31,,,PA-M,Third Circuit,1986-01-01,
"Mansmann, Carol",Elevated,1985-04-04,,,PA-W,Third Circuit,1986-01-01,
"McCune, Barron P.",Retired,1985-04-01,,,PA-W,Third Circuit,1986-01-01,
"Teitelbaum, Hubert I.",Retired,1985-07-02,,,PA-W,Third Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,NC-E,Fourth Circuit,1986-01-01,
"MacKenzie, John",Retired,1985-11-30,,,VA-E,Fourth Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,CCA,Fifth Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,MS-S,Fifth Circuit,1986-01-01,
"Hill, Robert M.",Elevated,1984-07-20,,,TX-N,Fifth Circuit,1986-01-01,
"Cire, George E.",Deceased,1985-05-03,,,TX-S,Fifth Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,CCA,Sixth Circuit,1986-01-01,
"Allen, Charles M.",Retired,1985-10-01,,,KY-W,Sixth Circuit,1986-01-01,
"Guy, Jr., Ralph B.",Elevated,1985-10-16,,,MI-E,Sixth Circuit,1986-01-01,
"Joiner, Charles W.",Retired,1984-08-15,,,MI-E,Sixth Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,MI-E,Sixth Circuit,1986-01-01,
"Walinski, Nicholas J.",Retired,1985-12-01,,,OH-N,Sixth Circuit,1986-01-01,
"Duncan, Robert M.",Resigned,1985-04-15,,,OH-S,Sixth Circuit,1986-01-01,
"Taylor, Robert L.",Retired,1985-01-15,,,TN-E,Sixth Circuit,1986-01-01,
"Eschbach, Jesse",Retired,1985-11-04,,,CCA,Seventh Circuit,1986-01-01,
"Pell, Wilbur F.",Retired,1984-07-31,,,CCA,Seventh Circuit,1986-01-01,
"McMillen, Thomas R.",Retired,1984-12-31,,,IL-N,Seventh Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,IL-S,Seventh Circuit,1986-01-01,
"Bright, Myron H.",Retired,1985-06-01,,,CCA,Eighth Circuit,1986-01-01,
"McManus, Edward J.",Retired,1985-02-09,,,IA-N,Eighth Circuit,1986-01-01,
"Lord, Miles",Retired,1985-07-01,,,MN,Eighth Circuit,1986-01-01,
"Benson, Paul",Retired,1985-12-31,,,ND,Eighth Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,AK,Ninth Circuit,1986-01-01,
"Orrick, Jr., William H.",Retired,1985-10-31,,,CA-N,Ninth Circuit,1986-01-01,
"Hall, Cynthia Holcolm",Elevated,1984-10-04,,,CA-C,Ninth Circuit,1986-01-01,
"King, Samuel P.",Retired,1984-11-30,,,HI,Ninth Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,HI,Ninth Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,WA-W,Ninth Circuit,1986-01-01,
"Doyle, William E.",Retired,1984-12-28,,,CCA,Tenth Circuit,1986-01-01,
"Moore, John P.",Elevated,1985-05-14,,,CO,Tenth Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,CO,Tenth Circuit,1986-01-01,
PL 98-353,New Position,1984-07-10,,,AL-S,Eleventh Circuit,1986-01-01,
"Reed, John A.",Resigned,1985-01-01,,,FL-M,Eleventh Circuit,1986-01-01,
"Eaton, Joe",Retired,1985-04-02,,,FL-S,Eleventh Circuit,1986-01-01,
"Wilkey, Malcolm",Retired,1984-12-06,,,CCA,District of Columbia Circuit,1986-01-01,
"Parker, Barrington",Retired,1985-12-19,,,DC,District of Columbia Circuit,1986-01-01,
"Boe, Nils A.",Retired,1984-04-30,"Tsoucalas, Nicholas",,USIT,International Trade,1986-01-01,9/11/1985
"Ford, Morgan",Retired,1985-12-31,,,USIT,International Trade,1986-01-01,
