Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Pesquera, Hernan",Deceased,1982-09-08,,,PR,First Circuit,1983-01-01
"Clarie, T. Emmet",Retired,1983-01-01,,,CT,Second Circuit,1983-01-01
"Pratt, George C.",Elevated,1982-06-21,,,NY-E,Second Circuit,1983-01-01
"MacMahon, Lloyd",Retired,1982-05-31,,,NY-S,Second Circuit,1983-01-01
"Pierce, Lawrence W.",Elevated,1981-11-30,,,NY-S,Second Circuit,1983-01-01
"Becker, Edward",Elevated,1982-01-22,,,PA-E,Third Circuit,1983-01-01
"Lord, Joseph",Retired,1982-07-01,,,PA-E,Third Circuit,1983-01-01
"Troutman, E. Mac",Retired,1982-09-01,,,PA-E,Third Circuit,1983-01-01
"Butzner, John D.",Retired,1982-11-01,,,CCA,Fourth Circuit,1983-01-01
"Jones, Shirley",Resigned,1982-12-31,,,MD,Fourth Circuit,1983-01-01
"Ainsworth, Robert",Deceased,1981-12-22,,,CCA,Fifth Circuit,1983-01-01
"Gordon, Jack",Deceased,1982-03-04,,,LA-E,Fifth Circuit,1983-01-01
"Cox, William",Retired,1982-10-04,,,MS-S,Fifth Circuit,1983-01-01
"Higginbotham, Patrick E.",Elevated,1982-07-27,,,TX-N,Fifth Circuit,1983-01-01
"Seals, Woodrow",Retired,1982-12-25,,,TX-S,Fifth Circuit,1983-01-01
"Neese, C.G.",Retired,1982-08-31,,,TN-E,Sixth Circuit,1983-01-01
"Wilson, Frank",Deceased,1982-09-29,,,TN-E,Sixth Circuit,1983-01-01
"Wellford, Harry W.",Elevated,1982-08-20,,,TN-W,Sixth Circuit,1983-01-01
"Sprecher, Robert",Deceased,1982-05-15,,,CCA,Seventh Circuit,1983-01-01
"Henley, J. Smith",Retired,1982-05-31,,,CCA,Eighth Circuit,1983-01-01
"Weigel, Stanley",Retired,1982-10-09,,,CA-N,Ninth Circuit,1983-01-01
"Gray, William P.",Retired,1982-03-26,,,CA-C,Ninth Circuit,1983-01-01
"Hauk, A. Andrew",Retired,1982-09-29,,,CA-C,Ninth Circuit,1983-01-01
"Foley, Roger",Retired,1982-10-29,,,NV,Ninth Circuit,1983-01-01
"Mechem, Edward",Retired,1982-07-03,,,NM,Tenth Circuit,1983-01-01
"Krentzman, Ben",Retired,1982-11-15,,,FL-M,Eleventh Circuit,1983-01-01
"Atkins, C. Clyde",Retired,1982-12-31,,,FL-S,Eleventh Circuit,1983-01-01
"Kunzi, Robert",Deceased,1982-02-21,,,CCA,Federal Circuit,1983-01-01
"Maletz, Herbert",Retired,1982-12-31,,,USIT,International Trade,1983-01-01
"Richardson, Skovil",Deceased,1982-03-30,,,USIT,International Trade,1983-01-01
