Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date,Nomination Date
PL 98-353,New Position,1984-07-10,,,CCA,First Circuit,1986-05-01,
"Garrity, W. Arthur",Retired,1985-12-01,"Woodlock, Douglas P.",,MA,First Circuit,1986-05-01,4/22/1986
"Altimari, Frank X.",Elevated,1985-12-17,,,NY-E,Second Circuit,1986-05-01,
"Gagliardi, Lee P.",Retired,1985-07-17,,,NY-S,Second Circuit,1986-05-01,
"Sofaer, Abraham D.",Resigned,1985-06-10,,,NY-S,Second Circuit,1986-05-01,
PL 98-353,New Position,1984-07-10,,,NY-W,Second Circuit,1986-05-01,
"Lacey, Frederick",Retired,1986-02-01,"Lechner, Jr., Alfred J.",,NJ,Third Circuit,1986-05-01,4/8/1986
"VanArtsdalen, Donald",Retired,1985-10-21,,,PA-E,Third Circuit,1986-05-01,
"Muir, Malcolm",Retired,1984-08-31,,,PA-M,Third Circuit,1986-05-01,
"Mansmann, Carol",Elevated,1985-04-04,,,PA-W,Third Circuit,1986-05-01,
"McCune, Barron P.",Retired,1985-04-01,,,PA-W,Third Circuit,1986-05-01,
"Teitelbaum, Hubert I.",Retired,1985-07-02,,,PA-W,Third Circuit,1986-05-01,
"Sneeden, Emory",Resigned,1986-03-01,,,CCA,Fourth Circuit,1986-05-01,
PL 98-353,New Position,1984-07-10,,,NC-E,Fourth Circuit,1986-05-01,
"MacKenzie, John",Retired,1985-11-30,,,VA-E,Fourth Circuit,1986-05-01,
"Warriner, D. Dutch",Deceased,1986-03-17,,,VA-E,Fourth Circuit,1986-05-01,
PL 98-353,New Position,1984-07-10,,,CCA,Fifth Circuit,1986-05-01,
"Tate, Jr., Albert",Deceased,1986-03-27,,,CCA,Fifth Circuit,1986-05-01,
"Cire, George E.",Deceased,1985-05-03,"Hittner, David",,TX-S,Fifth Circuit,1986-05-01,4/22/1986
"Allen, Charles M.",Retired,1985-10-01,,,KY-W,Sixth Circuit,1986-05-01,
"Feikens, John",Retired,1986-03-01,,,MI-E,Sixth Circuit,1986-05-01,
PL 98-353,New Position,1984-07-10,,,MI-E,Sixth Circuit,1986-05-01,
"Walinski, Nicholas J.",Retired,1985-12-01,,,OH-N,Sixth Circuit,1986-05-01,
"Duncan, Robert M.",Resigned,1985-04-15,,,OH-S,Sixth Circuit,1986-05-01,
"Taylor, Robert L.",Retired,1985-01-15,,,TN-E,Sixth Circuit,1986-05-01,
"Eschbach, Jesse",Retired,1985-11-04,,,CCA,Seventh Circuit,1986-05-01,
"Pell, Wilbur F.",Retired,1984-07-31,"Manion, Daniel A.",,CCA,Seventh Circuit,1986-05-01,2/21/1986
"Leighton, George N.",Retired,1986-02-27,,,IL-N,Seventh Circuit,1986-05-01,
"McMillen, Thomas R.",Retired,1984-12-31,,,IL-N,Seventh Circuit,1986-05-01,
PL 98-353,New Position,1984-07-10,,,IL-S,Seventh Circuit,1986-05-01,
"Stuart, William C.",Retired,1986-04-30,,,IA-S,Eighth Circuit,1986-05-01,
"Lord, Miles",Retired,1985-07-01,,,MN,Eighth Circuit,1986-05-01,
"Benson, Paul",Retired,1985-12-31,,,ND,Eighth Circuit,1986-05-01,
PL 98-353,New Position,1984-07-10,"Kleinfeld, Andrew J.",,AK,Ninth Circuit,1986-05-01,3/26/1986
"Orrick, Jr., William H.",Retired,1985-10-31,,,CA-N,Ninth Circuit,1986-05-01,
"Hall, Cynthia Holcolm",Elevated,1984-10-04,"Davies, John G.",,CA-C,Ninth Circuit,1986-05-01,4/22/1986
"King, Samuel P.",Retired,1984-11-30,,,HI,Ninth Circuit,1986-05-01,
PL 98-353,New Position,1984-07-10,,,HI,Ninth Circuit,1986-05-01,
"Doyle, William E.",Retired,1984-12-28,,,CCA,Tenth Circuit,1986-05-01,
"Moore, John P.",Elevated,1985-05-14,,,CO,Tenth Circuit,1986-05-01,
PL 98-353,New Position,1984-07-10,,,CO,Tenth Circuit,1986-05-01,
"Baldock, Bobby Ray",Elevated,1986-01-24,,,NM,Tenth Circuit,1986-05-01,
PL 98-353,New Position,1984-07-10,,,AL-S,Eleventh Circuit,1986-05-01,
"Reed, John A.",Resigned,1985-01-01,"Fawsett, Patricia C.",,FL-M,Eleventh Circuit,1986-05-01,4/9/1986
"Wilkey, Malcolm",Retired,1984-12-06,"Williams, Stephen F.",,CCA,District of Columbia Circuit,1986-05-01,2/19/1986
"Parker, Barrington",Retired,1985-12-19,,,DC,District of Columbia Circuit,1986-05-01,
"Bennett, Marion T.",Retired,1986-03-01,,,CCA,Federal Circuit,1986-05-01,
"Kashiwa, Shiro",Retired,1986-01-07,,,CCA,Federal Circuit,1986-05-01,
"Boe, Nils A.",Retired,1984-04-30,"Tsoucalas, Nicholas",,USIT,International Trade,1986-05-01,9/11/1985
"Ford, Morgan",Retired,1985-12-31,,,USIT,International Trade,1986-05-01,
