Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Mitchell, George",Resigned,1980-05-16,,,ME,First Circuit,1981-06-01
PL 95-486,New Position,1978-11-08,,,PR,First Circuit,1981-06-01
"Toledo, Jose",Deceased,1980-02-03,,,PR,First Circuit,1981-06-01
"Gurfein, Murray",Deceased,1979-12-16,,,CCA,Second Circuit,1981-06-01
"Mulligan, William",Resigned,1981-03-31,,,CCA,Second Circuit,1981-06-01
"Foley, James T.",Retired,1980-06-30,,,NY-N,Second Circuit,1981-06-01
"Mishler, Jacob",Retired,1980-04-30,,,NY-E,Second Circuit,1981-06-01
PL 95-486,New Position,1978-11-08,,,NY-E,Second Circuit,1981-06-01
"Tenney, Charles H.",Retired,1980-06-30,,,NY-S,Second Circuit,1981-06-01
"Rosenn, Max",Retired,1981-01-21,,,CCA,Third Circuit,1981-06-01
"Snyder, Daniel J.",Deceased,1980-05-11,,,PA-W,Third Circuit,1981-06-01
"Young, Warren",Deceased,1980-06-06,,,VI,Third Circuit,1981-06-01
"Haynsworth, Clement",Retired,1981-04-06,,,CCA,Fourth Circuit,1981-06-01
PL 95-486,New Position,1978-11-08,,,NC-E,Fourth Circuit,1981-06-01
PL 95-486,New Position,1978-11-08,,,NC-W,Fourth Circuit,1981-06-01
"Hemphill, Robert",Retired,1980-05-10,,,SC,Fourth Circuit,1981-06-01
"Kellam, Richard B.",Retired,1981-05-30,,,VA-E,Fourth Circuit,1981-06-01
PL 95-486,New Position,1978-11-08,,,VA-E,Fourth Circuit,1981-06-01
PL 95-486,New Position,1978-11-08,,,VA-W,Fourth Circuit,1981-06-01
"Coleman, James",Retired,1981-05-30,,,CCA,Fifth Circuit,1981-06-01
PL 95-486,New Position,1978-11-08,,,CCA,Fifth Circuit,1981-06-01
"Cox, Owen D.",Retired,1980-03-20,,,TX-S,Fifth Circuit,1981-06-01
"Roberts, Jack",Retired,1980-05-01,,,TX-W,Fifth Circuit,1981-06-01
"Celebrezze, Anthony J.",Retired,1980-10-01,,,CCA,Sixth Circuit,1981-06-01
"Hermansdorfer, Howard",Resigned,1981-01-31,,,KY-E,Sixth Circuit,1981-06-01
"Thomas, William",Retired,1981-02-15,,,OH-N,Sixth Circuit,1981-06-01
"Young, Don",Retired,1980-07-01,,,OH-N,Sixth Circuit,1981-06-01
"Tone, Philip",Resigned,1980-04-30,,,CCA,Seventh Circuit,1981-06-01
"Decker, Bernard",Retired,1981-04-02,,,IL-N,Seventh Circuit,1981-06-01
McNagny,Deceased,1981-03-28,,,IN-N,Seventh Circuit,1981-06-01
PL 95-486,New Position,1978-11-08,,,IN-N,Seventh Circuit,1981-06-01
"Doyle, James E.",Retired,1980-07-07,,,WI-W,Seventh Circuit,1981-06-01
"Gibson, Floyd",Retired,1979-12-31,,,CCA,Eighth Circuit,1981-06-01
"Devitt, Edward J.",Retired,1980-05-01,,,MN,Eighth Circuit,1981-06-01
"Collinson, William R.",Retired,1980-08-19,,,MO-W,Eighth Circuit,1981-06-01
"Hunter, Elmo",Retired,1980-12-31,,,MO-W,Eighth Circuit,1981-06-01
"Oliver, John",Retired,1980-11-03,,,MO-W,Eighth Circuit,1981-06-01
"Denney, Robert V.",Retired,1981-04-16,,,NE,Eighth Circuit,1981-06-01
"Nichol, Fred",Retired,1980-06-11,,,SD,Eighth Circuit,1981-06-01
"Renfrew, Charles",Resigned,1980-02-27,,,CA-N,Ninth Circuit,1981-06-01
"Crocker, Myron",Retired,1981-01-01,,,CA-E,Ninth Circuit,1981-06-01
"Hill, Irving",Retired,1980-10-15,,,CA-C,Ninth Circuit,1981-06-01
"Pregerson, Harry",Elevated,1979-11-06,,,CA-C,Ninth Circuit,1981-06-01
"Williams, David",Retired,1981-01-17,,,CA-C,Ninth Circuit,1981-06-01
"Sharp, Morell",Deceased,1980-10-19,,,WA-W,Ninth Circuit,1981-06-01
"Arnow, Winston",Retired,1981-03-14,,,FL-N,Eleventh Circuit,1981-06-01
PL 95-486,New Position,1978-11-08,,,FL-M,Eleventh Circuit,1981-06-01
