Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Laffitte, Hector M.",Senior,2005-11-15,,,PR,First Circuit,2006-03-01
"Chertoff, Michael",Resigned,2005-02-15,Michael A. Chagares,2006-01-25,CCA,Third Circuit,2006-03-01
"Nygaard, Richard L.",Senior,2005-07-09,,,CCA,Third Circuit,2006-03-01
"Bissell, John W.",Retired,2005-09-01,Susan Davis Wigenton,2006-01-25,NJ,Third Circuit,2006-03-01
"Orlofsky, Stephen M.",Resigned,2003-08-31,"Sheridan, Peter G.",2005-02-14,NJ,Third Circuit,2006-03-01
"Walls, William H.",Senior,2005-01-31,Renee Marie Bumb,2006-01-25,NJ,Third Circuit,2006-03-01
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2005-02-14,CCA,Fourth Circuit,2006-03-01
"Mullen, Graham C.",Senior,2005-12-01,,,NC-W,Fourth Circuit,2006-03-01
"Ryan, James L.",Senior,2000-01-01,"Saad, Henry W.",2005-02-14,CCA,Sixth Circuit,2006-03-01
"Gadola, Paul V.",Senior,2001-01-31,"Ludington, Thomas L.",2005-02-14,MI-E,Sixth Circuit,2006-03-01
"Zatkoff, Lawrence P.",Senior,2004-06-16,"Cox, Sean F.",2005-02-14,MI-E,Sixth Circuit,2006-03-01
"McKeague, David W.",Elevated,2005-06-13,,,MI-W,Sixth Circuit,2006-03-01
"Quist, Gordon J.",Senior,2006-01-01,,,MI-W,Sixth Circuit,2006-03-01
"Wells, Lesley",Senior,2006-02-14,,,OH-N,Sixth Circuit,2006-03-01
"Nelson, Thomas",Senior,2003-11-14,"Myers III, William Gerry",2005-02-14,CCA,Ninth Circuit,2006-03-01
"Tashima, A. Wallace",Senior,2004-06-30,"Smith, Milan D., Jr.",2006-02-14,CCA,Ninth Circuit,2006-03-01
"Trott, Stephen S.",Senior,2004-12-31,"Smith, Norman Randy",2005-12-16,CCA,Ninth Circuit,2006-03-01
"Marshall, Consuelo B.",Senior,2005-10-24,,,CA-C,Ninth Circuit,2006-03-01
"Taylor, Gary L.",Senior,2004-12-08,,,CA-C,Ninth Circuit,2006-03-01
"Tevrizian, Dickvan",Senior,2005-08-05,Andrew J. Guilford,2006-01-25,CA-C,Ninth Circuit,2006-03-01
"Timlin, Robert J.",Senior,2005-02-01,"Larson, Stephen G.",2005-12-15,CA-C,Ninth Circuit,2006-03-01
"Seymour, Stephanie K.",Senior,2005-10-16,"Payne, James H.",2005-09-29,CCA,Tenth Circuit,2006-03-01
"Roberts, John G.",Elevated,2005-09-29,,,CCA,District of Columbia Circuit,2006-03-01
"Silberman, Laurence",Senior,2000-11-01,Brett M. Kavanaugh,2006-01-25,CCA,District of Columbia Circuit,2006-03-01
