Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Pesquera, Hernan",Deceased,1982-09-08,,,PR,First Circuit,1982-11-01
"Neaher, Edward",Retired,1982-05-28,,,NY-E,Second Circuit,1982-11-01
"Pratt, George C.",Elevated,1982-06-21,,,NY-E,Second Circuit,1982-11-01
"MacMahon, Lloyd",Retired,1982-05-31,,,NY-S,Second Circuit,1982-11-01
"Pierce, Lawrence W.",Elevated,1981-11-30,,,NY-S,Second Circuit,1982-11-01
"Biunno, Vincent",Retired,1982-03-23,,,NJ,Third Circuit,1982-11-01
"Becker, Edward",Elevated,1982-01-22,,,PA-E,Third Circuit,1982-11-01
"Lord, Joseph",Retired,1982-07-01,,,PA-E,Third Circuit,1982-11-01
"Troutman, E. Mac",Retired,1982-09-01,,,PA-E,Third Circuit,1982-11-01
"Butzner, John D.",Retired,1982-11-01,,,CCA,Fourth Circuit,1982-11-01
"Gordon, Eugene",Retired,1982-07-12,,,NC-M,Fourth Circuit,1982-11-01
"Ainsworth, Robert",Deceased,1981-12-22,,,CCA,Fifth Circuit,1982-11-01
"Gordon, Jack",Deceased,1982-03-04,,,LA-E,Fifth Circuit,1982-11-01
"Cox, William",Retired,1982-10-04,,,MS-S,Fifth Circuit,1982-11-01
"Higginbotham, Patrick E.",Elevated,1982-07-27,,,TX-N,Fifth Circuit,1982-11-01
"Krupansky, Robert B.",Elevated,1982-03-19,,,OH-N,Sixth Circuit,1982-11-01
"Neese, C.G.",Retired,1982-08-31,,,TN-E,Sixth Circuit,1982-11-01
"Wilson, Frank",Deceased,1982-09-29,,,TN-E,Sixth Circuit,1982-11-01
"Wellford, Harry W.",Elevated,1982-08-20,,,TN-W,Sixth Circuit,1982-11-01
"Sprecher, Robert",Deceased,1982-05-15,,,CCA,Seventh Circuit,1982-11-01
"Parsons, James B.",Retired,1981-08-30,,,IL-N,Seventh Circuit,1982-11-01
"Henley, J. Smith",Retired,1982-05-31,,,CCA,Eighth Circuit,1982-11-01
"Weigel, Stanley",Retired,1982-10-09,,,CA-N,Ninth Circuit,1982-11-01
"Gray, William P.",Retired,1982-03-26,,,CA-C,Ninth Circuit,1982-11-01
"Hauk, A. Andrew",Retired,1982-09-29,,,CA-C,Ninth Circuit,1982-11-01
"Foley, Roger",Retired,1982-10-29,,,NV,Ninth Circuit,1982-11-01
"Mechem, Edward",Retired,1982-07-03,,,NM,Tenth Circuit,1982-11-01
"Kunzi, Robert",Deceased,1982-02-21,,,CCA,Federal Circuit,1982-11-01
"Richardson, Skovil",Deceased,1982-03-30,,,USIT,International Trade,1982-11-01
