Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Scullin, Frederick J., Jr.",Senior,2006-03-13,,,NY-N,Second Circuit,2008-02-01
"Casey, Richard Conway",Deceased,2007-03-22,,,NY-S,Second Circuit,2008-02-01
"Van Antwerpen, Franklin S.",Senior,2006-10-23,"Pratter, Gene E.K.",2007-11-15,CCA,Third Circuit,2008-02-01
"Murnaghan, Francis",Deceased,2000-08-31,"Rosenstein, Rod J.",2007-11-15,CCA,Fourth Circuit,2008-02-01
"Phillips, J. Dickson, Jr.",Senior,1994-07-31,"Conrad, Robert J., Jr.",2007-07-17,CCA,Fourth Circuit,2008-02-01
"Widener, H. Emory, Jr.",Senior,2007-07-17,"Getchell, E. Duncan Jr.",2007-09-06,CCA,Fourth Circuit,2008-02-01
"Wilkins, William W.",Senior,2007-07-01,"Matthews, Steve A.",2007-09-06,CCA,Fourth Circuit,2008-02-01
"Payne, Robert E.",Senior,2007-05-07,"Novak, David J.",2007-11-15,VA-E,Fourth Circuit,2008-02-01
"Ryan, James L.",Senior,2000-01-01,"Kethledge, Raymond M.",2007-03-19,CCA,Sixth Circuit,2008-02-01
"O'Meara, John Corbett",Senior,2007-01-01,,,MI-E,Sixth Circuit,2008-02-01
"Roberts, John G.",Elevated,2005-09-29,"Keisler, Peter D.",2007-01-09,CCA,District of Columbia Circuit,2008-02-01
