Vacancy Created By,Reason,Vacancy Date,Nominee,Nomination,Circuit,CT,date
"Stahl, Norman H.",Senior,2001-04-16,"Howard, Jeffrey R.",2001-09-04,CCA,First Circuit,2002-03-06
"Lagueux, Ronald R.",Senior,2001-11-30,,,RI,First Circuit,2002-03-06
"Platt, Thomas C.",Senior,2001-02-01,,,NY-E,Second Circuit,2002-03-06
"Parker, Barrington D. Jr.",Elevated,2001-10-11,,,NY-S,Second Circuit,2002-03-06
"Greenberg, Morton I.",Senior,2000-06-30,,,CCA,Third Circuit,2002-03-06
"Lewis, Timothy",Resigned,1999-06-30,"Smith, D. Brooks",2001-09-10,CCA,Third Circuit,2002-03-06
"Lechner, Alfred J. Jr",Resigned,2001-10-01,,,NJ,Third Circuit,2002-03-06
"Lifland, John C.",Senior,2001-06-15,"Martini, William J.",2002-01-23,NJ,Third Circuit,2002-03-06
"Politan, Nicholas H.",Retired,2002-01-04,,,NJ,Third Circuit,2002-03-06
"Thompson, Anne E.",Senior,2001-06-01,"Chesler, Stanley R.",2002-01-23,NJ,Third Circuit,2002-03-06
"Cahn, Edward N.",Retired,1998-12-31,,,PA-E,Third Circuit,2002-03-06
"Kelly, Robert F.",Senior,2001-07-17,"Baylson, Michael M.",2002-01-23,PA-E,Third Circuit,2002-03-06
"Ludwig, Edmond V.",Senior,1997-05-20,"Davis, Legrome D.",2002-01-23,PA-E,Third Circuit,2002-03-06
"Shapiro, Norma L.",Senior,1998-12-31,"Rufe, Cynthia M.",2002-01-23,PA-E,Third Circuit,2002-03-06
"McClure, James F. Jr.",Senior,2001-04-07,"Jones, John E. III",2002-02-28,PA-M,Third Circuit,2002-03-06
"Rambo, Sylvia H.",Senior,2001-04-18,"Conner, Christopher C.",2002-02-28,PA-M,Third Circuit,2002-03-06
"Bloch, Alan N.",Senior,1997-04-12,"Conti, Joy Flowers",2002-01-23,PA-W,Third Circuit,2002-03-06
"Cohill, Maurice B. Jr.",Senior,1994-11-28,"Schwab, Arthur J.",2002-01-23,PA-W,Third Circuit,2002-03-06
"Lee, Donald J.",Senior,2000-04-06,,,PA-W,Third Circuit,2002-03-06
"Standish, William L.",Senior,2002-03-01,,,PA-W,Third Circuit,2002-03-06
"Ziegler, Donald E.",Senior,2001-10-01,"McVerry, Terrence F.",2002-01-23,PA-W,Third Circuit,2002-03-06
"Ervin, Sam J. III",Deceased,1999-09-18,,,CCA,Fourth Circuit,2002-03-06
"Hamilton, Clyde H.",Senior,1999-11-30,"Shedd, Dennis W.",2001-09-04,CCA,Fourth Circuit,2002-03-06
"Murnaghan, Francis",Deceased,2000-08-31,,,CCA,Fourth Circuit,2002-03-06
"Phillips, J. Dickson Jr.",Senior,1994-07-31,"Boyle, Terrence W.",2001-09-04,CCA,Fourth Circuit,2002-03-06
"Britt, W. Earl",Senior,1997-12-07,,,NC-E,Fourth Circuit,2002-03-06
"Fox, James C.",Senior,2001-01-31,,,NC-E,Fourth Circuit,2002-03-06
PL 106-553,New Position,2000-12-21,"Hudson, Henry E.",2002-01-23,VA-E,Fourth Circuit,2002-03-06
"Garwood, William L.",Senior,1997-01-23,"Owen, Priscilla Richman",2001-09-04,CCA,Fifth Circuit,2002-03-06
"Politz, Henry A.",Senior,1999-08-10,"Pickering, Charles W. Sr.",2001-09-04,CCA,Fifth Circuit,2002-03-06
"Clement, Edith Brown",Elevated,2001-11-13,"Africk, Lance M.",2002-01-23,LA-E,Fifth Circuit,2002-03-06
"Walter, Donald E.",Senior,2001-11-30,,,LA-W,Fifth Circuit,2002-03-06
"Kendall, Joe",Resigned,2002-01-22,,,TX-N,Fifth Circuit,2002-03-06
"Maloney, Robert B.",Senior,2000-08-31,"Godbey, David C.",2002-01-23,TX-N,Fifth Circuit,2002-03-06
"Brown, Paul",Senior,2001-04-01,"Davis, Leonard E.",2002-01-23,TX-E,Fifth Circuit,2002-03-06
"Cobb, Howell",Senior,2001-03-01,"Clark, Ronald H.",2002-01-23,TX-E,Fifth Circuit,2002-03-06
